Country,Demonym (Male),Demonym (Female)
Dominican Republic,Dominican,Dominican
Norfolk Island,Norfolk Islander,Norfolk Islander
Bouvet Island,N/A,N/A
Qatar,Qatari,Qatari
Madagascar,Malagasy,Malagasy
India,Indian,Indian
Syria,Syrian,Syrian
Montenegro,Montenegrin,Montenegrin
Eswatini,Swazi,Swazi
Paraguay,Paraguayan,Paraguayan
El Salvador,Salvadoran,Salvadoran
Ukraine,Ukrainian,Ukrainian
Isle of Man,Manx,Manx
Namibia,Namibian,Namibian
United Arab Emirates,Emirati,Emirati
Bulgaria,Bulgarian,Bulgarian
Greenland,Greenlandic,Greenlandic
Germany,German,German
Cambodia,Cambodian,Cambodian
Iraq,Iraqi,Iraqi
French Southern and Antarctic Lands,French,French
Sweden,Swedish,Swedish
Cuba,Cuban,Cuban
Kyrgyzstan,Kirghiz,Kirghiz
Russia,Russian,Russian
Malaysia,Malaysian,Malaysian
São Tomé and Príncipe,Sao Tomean,Sao Tomean
Cyprus,Cypriot,Cypriot
Canada,Canadian,Canadian
Malawi,Malawian,Malawian
Saudi Arabia,Saudi Arabian,Saudi Arabian
Bosnia and Herzegovina,"Bosnian, Herzegovinian","Bosnian, Herzegovinian"
Ethiopia,Ethiopian,Ethiopian
Spain,Spanish,Spanish
Slovenia,Slovene,Slovene
Oman,Omani,Omani
Saint Pierre and Miquelon,"Saint-Pierrais, Miquelonnais","Saint-Pierrais, Miquelonnais"
Macau,Macanese,Macanese
San Marino,Sammarinese,Sammarinese
Lesotho,Mosotho,Mosotho
Marshall Islands,Marshallese,Marshallese
Sint Maarten,St. Maartener,St. Maartener
Iceland,Icelander,Icelander
Luxembourg,Luxembourger,Luxembourger
Argentina,Argentine,Argentine
Turks and Caicos Islands,Turks and Caicos Islander,Turks and Caicos Islander
Nauru,Nauruan,Nauruan
Cocos (Keeling) Islands,Cocos Islander,Cocos Islander
Western Sahara,Sahrawi,Sahrawi
Dominica,Dominican,Dominican
Costa Rica,Costa Rican,Costa Rican
Australia,Australian,Australian
Thailand,Thai,Thai
Haiti,Haitian,Haitian
Tuvalu,Tuvaluan,Tuvaluan
Honduras,Honduran,Honduran
Equatorial Guinea,Equatorial Guinean,Equatorial Guinean
Saint Lucia,Saint Lucian,Saint Lucian
French Polynesia,French Polynesian,French Polynesian
Belarus,Belarusian,Belarusian
Latvia,Latvian,Latvian
Palau,Palauan,Palauan
Guadeloupe,Guadeloupian,Guadeloupian
Philippines,Filipino,Filipino
Gibraltar,Gibraltar,Gibraltar
Denmark,Danish,Danish
Cameroon,Cameroonian,Cameroonian
Guinea,Guinean,Guinean
Bahrain,Bahraini,Bahraini
Suriname,Surinamer,Surinamer
DR Congo,Congolese,Congolese
Somalia,Somali,Somali
Czechia,Czech,Czech
New Caledonia,New Caledonian,New Caledonian
Vanuatu,Ni-Vanuatu,Ni-Vanuatu
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Helenian
Togo,Togolese,Togolese
British Virgin Islands,Virgin Islander,Virgin Islander
Kenya,Kenyan,Kenyan
Niue,Niuean,Niuean
Heard Island and McDonald Islands,Heard and McDonald Islander,Heard and McDonald Islander
Rwanda,Rwandan,Rwandan
Estonia,Estonian,Estonian
Romania,Romanian,Romanian
Trinidad and Tobago,Trinidadian,Trinidadian
Guyana,Guyanese,Guyanese
Timor-Leste,East Timorese,East Timorese
Vietnam,Vietnamese,Vietnamese
Uruguay,Uruguayan,Uruguayan
Vatican City,Vatican,Vatican
Hong Kong,Hong Konger,Hong Konger
Austria,Austrian,Austrian
Antigua and Barbuda,"Antiguan, Barbudan","Antiguan, Barbudan"
Turkmenistan,Turkmen,Turkmen
Mozambique,Mozambican,Mozambican
Panama,Panamanian,Panamanian
Micronesia,Micronesian,Micronesian
Ireland,Irish,Irish
Curaçao,Curaçaoan,Curaçaoan
French Guiana,Guianan,Guianan
Norway,Norwegian,Norwegian
Åland Islands,Ålandish,Ålandish
Central African Republic,Central African,Central African
Burkina Faso,Burkinabe,Burkinabe
Eritrea,Eritrean,Eritrean
Tanzania,Tanzanian,Tanzanian
South Korea,South Korean,South Korean
Jordan,Jordanian,Jordanian
Mauritania,Mauritanian,Mauritanian
Lithuania,Lithuanian,Lithuanian
United States Minor Outlying Islands,American Islander,American Islander
Slovakia,Slovak,Slovak
Angola,Angolan,Angolan
Kazakhstan,Kazakhstani,Kazakhstani
Moldova,Moldovan,Moldovan
Mali,Malian,Malian
Falkland Islands,Falkland Islander,Falkland Islander
Armenia,Armenian,Armenian
Samoa,Samoan,Samoan
Jersey,Channel Islander,Channel Islander
Japan,Japanese,Japanese
Bolivia,Bolivian,Bolivian
Chile,Chilean,Chilean
United States,American,American
Saint Vincent and the Grenadines,Saint Vincentian,Saint Vincentian
Bermuda,Bermudian,Bermudian
Seychelles,Seychellois,Seychellois
British Indian Ocean Territory,Indian,Indian
Guatemala,Guatemalan,Guatemalan
Ecuador,Ecuadorean,Ecuadorean
Martinique,Martinican,Martinican
Tajikistan,Tadzhik,Tadzhik
Malta,Maltese,Maltese
Gambia,Gambian,Gambian
Nigeria,Nigerian,Nigerian
Bahamas,Bahamian,Bahamian
Kosovo,Kosovar,Kosovar
Kuwait,Kuwaiti,Kuwaiti
Maldives,Maldivan,Maldivan
South Sudan,South Sudanese,South Sudanese
Iran,Iranian,Iranian
Albania,Albanian,Albanian
Brazil,Brazilian,Brazilian
Serbia,Serbian,Serbian
Belize,Belizean,Belizean
Myanmar,Burmese,Burmese
Bhutan,Bhutanese,Bhutanese
Venezuela,Venezuelan,Venezuelan
Liberia,Liberian,Liberian
Jamaica,Jamaican,Jamaican
Poland,Polish,Polish
Cayman Islands,Caymanian,Caymanian
Brunei,Bruneian,Bruneian
Comoros,Comoran,Comoran
Guam,Guamanian,Guamanian
Tonga,Tongan,Tongan
Kiribati,I-Kiribati,I-Kiribati
Ghana,Ghanaian,Ghanaian
Chad,Chadian,Chadian
Zimbabwe,Zimbabwean,Zimbabwean
Saint Martin,Saint Martin Islander,Saint Martin Islander
Mongolia,Mongolian,Mongolian
Portugal,Portuguese,Portuguese
American Samoa,American Samoan,American Samoan
Republic of the Congo,Congolese,Congolese
Belgium,Belgian,Belgian
Israel,Israeli,Israeli
New Zealand,New Zealander,New Zealander
Nicaragua,Nicaraguan,Nicaraguan
Anguilla,Anguillian,Anguillian
